Round-trip execution cost, bp of leg-A notional
  RTH    : data/depth              (US market open)
  CLOSED : depth_closed_20260921T0018Z  (US market shut)

PAIR                    SIZE   RTH bp  CLOSED bp    DELTA   RATIO
------------------------------------------------------------------
SPY/VOO                1,000     62.0       70.8     +8.8    1.14x
                       5,000     64.1       83.7    +19.6    1.31x
                      25,000     75.9       90.4    +14.5    1.19x
                     100,000     92.4      122.9    +30.5    1.33x
                     250,000    142.0      185.7    +43.7    1.31x

SPY/SP500              1,000     43.8       58.4    +14.6    1.33x
                       5,000     48.1       64.3    +16.1    1.34x
                      25,000     61.6       66.0     +4.4    1.07x
                     100,000     73.8       66.9     -6.9    0.91x
                     250,000     81.7       71.4    -10.3    0.87x

VOO/SP500              1,000     73.3       98.6    +25.3    1.35x
                       5,000     78.4      115.5    +37.1    1.47x
                      25,000     92.1      128.4    +36.3    1.39x
                     100,000    120.1      174.4    +54.3    1.45x
                     250,000    204.2      251.2    +46.9    1.23x

QQQ/NDX100             1,000     42.6       45.4     +2.8    1.07x
                       5,000     58.0       57.5     -0.5    0.99x
                      25,000     66.2       66.4     +0.2    1.00x
                     100,000     77.9       70.4     -7.5    0.90x
                     250,000     85.1       77.7     -7.4    0.91x

QQQ/TQQQ               1,000     52.5       50.0     -2.5    0.95x
                       5,000     57.4       58.9     +1.5    1.03x
                      25,000     87.6       84.3     -3.4    0.96x
                     100,000    144.7      115.3    -29.5    0.80x
                     250,000    200.6      147.0    -53.7    0.73x

QQQ/SQQQ               1,000     54.8       55.6     +0.8    1.01x
                       5,000     66.0       61.8     -4.2    0.94x
                      25,000    127.2       77.1    -50.2    0.61x
                     100,000    168.6      120.9    -47.7    0.72x
                     250,000    227.0      170.3    -56.8    0.75x

TQQQ/SQQQ              1,000     37.6       37.6     -0.0    1.00x
                       5,000     41.8       41.8     -0.0    1.00x
                      25,000     71.5       62.2     -9.3    0.87x
                     100,000    162.5      104.4    -58.1    0.64x
                     250,000    219.3      152.9    -66.4    0.70x

SOXX/SMH               1,000     65.8       65.8     +0.0    1.00x
                       5,000    100.2      123.3    +23.2    1.23x
                      25,000    141.9      151.3     +9.4    1.07x
                     100,000    201.4      221.1    +19.8    1.10x

SOXX/SOXL              1,000     71.6       61.5    -10.1    0.86x
                       5,000    103.1       80.6    -22.4    0.78x
                      25,000    137.2      102.3    -34.9    0.75x
                     100,000    187.2      158.0    -29.1    0.84x

SOXX/SOXS              1,000     83.3       72.5    -10.8    0.87x
                       5,000    118.1       97.1    -21.0    0.82x

SMH/SOXL               1,000     76.1       85.8     +9.7    1.13x
                       5,000     83.4      128.5    +45.2    1.54x
                      25,000    115.0      148.2    +33.2    1.29x
                     100,000    172.7      213.6    +40.9    1.24x
                     250,000    260.3      335.3    +75.0    1.29x

SMH/SOXS               1,000     87.7       96.9     +9.2    1.10x
                       5,000     98.7      145.3    +46.6    1.47x

SOXL/SOXS              1,000     31.8       30.7     -1.1    0.97x
                       5,000     37.4       34.1     -3.3    0.91x
                      25,000     51.1       49.9     -1.2    0.98x

XAU/XAUT               1,000     25.0       23.5     -1.5    0.94x
                       5,000     25.9       24.8     -1.1    0.96x
                      25,000     27.5       29.1     +1.6    1.06x
                     100,000     31.4       35.0     +3.6    1.11x
                     250,000     37.1       40.1     +2.9    1.08x

XAU/PAXG               1,000     27.2       23.8     -3.4    0.88x
                       5,000     27.9       25.6     -2.4    0.91x
                      25,000     28.6       27.8     -0.8    0.97x
                     100,000     33.3       30.9     -2.4    0.93x
                     250,000     45.6       38.0     -7.6    0.83x

XAUT/PAXG              1,000     28.3       24.2     -4.1    0.86x
                       5,000     30.0       26.8     -3.2    0.89x
                      25,000     31.9       31.9     +0.0    1.00x
                     100,000     38.7       35.9     -2.7    0.93x
                     250,000     53.4       42.7    -10.6    0.80x

TSLA/TSLL              1,000     97.0      103.8     +6.8    1.07x
                       5,000    108.9      162.9    +54.0    1.50x
                      25,000    117.2      202.3    +85.2    1.73x
                     100,000    165.4      260.5    +95.1    1.58x

NVDA/NVDL              1,000     91.4       89.0     -2.4    0.97x
                       5,000    107.7       93.8    -13.8    0.87x
                      25,000    147.8      121.8    -26.0    0.82x
                     100,000    231.6      184.6    -47.0    0.80x
                     250,000    463.5      322.0   -141.5    0.69x

AAPL/AAPU              1,000    121.8      125.5     +3.7    1.03x
                       5,000    158.7      128.4    -30.2    0.81x
                      25,000    183.1      137.3    -45.9    0.75x
                     100,000    248.2      194.5    -53.6    0.78x
                     250,000    500.9      318.7   -182.1    0.64x

MSFT/MSFU              1,000    236.0      211.2    -24.8    0.89x
                       5,000    251.5      237.0    -14.6    0.94x
                      25,000    271.8      258.2    -13.6    0.95x
                     100,000    345.1      317.0    -28.1    0.92x
                     250,000    589.3      530.6    -58.6    0.90x

AMZN/AMZU              1,000    169.0      117.6    -51.5    0.70x
                       5,000    176.2      124.1    -52.1    0.70x
                      25,000    192.7      137.1    -55.6    0.71x
                     100,000    250.3      204.4    -46.0    0.82x

META/METU              1,000    280.2      147.4   -132.7    0.53x
                       5,000    297.7      170.9   -126.8    0.57x
                      25,000    306.1      194.9   -111.2    0.64x
                     100,000    345.7      240.0   -105.7    0.69x
                     250,000    533.5      338.5   -194.9    0.63x

GOOGL/GGLL             1,000    105.5       83.4    -22.0    0.79x
                       5,000    114.2       87.6    -26.6    0.77x
